Days,Gender,Status ,Rider Age,Fare,Ride_Duration
WEEKEND,Female,Delay,32,32,35
WEEKDAY,Female,Delay,28,40,60
WEEKDAY,Female,Delay,33,4,35
WEEKDAY,Female,Delay,55,12,35
WEEKDAY,Female,Cancelled,67,8,35
WEEKDAY,Male,Cancelled,29,20,35
WEEKEND,Male,Cancelled,53,16,35
WEEKEND,Male,Cancelled,45,28,48
WEEKDAY,Female,Delay,23,24,48
WEEKDAY,Male,Delay,23,36,48
WEEKDAY,Male,Delay,23,32,48
WEEKDAY,Female,On-time,46,40,20
WEEKDAY,Male,Cancelled,55,4,48
WEEKEND,Male,Cancelled,55,12,20
WEEKEND,Male,Cancelled,46,8,20
WEEKDAY,Male,Cancelled,28,20,16
WEEKDAY,Male,Cancelled,33,16,16
WEEKDAY,Male,Cancelled,55,28,16
WEEKDAY,Male,Cancelled,32,24,16
WEEKDAY,Male,Cancelled,33,36,16
WEEKEND,Female,Cancelled,39,32,16
WEEKEND,Male,Cancelled,44,40,16
WEEKDAY,Male,Delay,46,3,30
WEEKDAY,Male,Delay,28,9,30
WEEKDAY,Female,Cancelled,33,6,30
WEEKDAY,Female,Cancelled,53,15,30
WEEKDAY,Female,Cancelled,45,12,30
WEEKEND,Female,Cancelled,23,18,30
WEEKEND,Male,Cancelled,23,27,30
WEEKDAY,Male,Cancelled,23,24,30
WEEKDAY,Male,Cancelled,46,30,10
WEEKDAY,Female,Cancelled,55,3,30
WEEKDAY,Male,Cancelled,55,9,35
WEEKDAY,Male,Cancelled,33,6,35
WEEKEND,Male,Cancelled,55,15,35
WEEKEND,Male,Cancelled,32,12,35
WEEKDAY,Male,Cancelled,33,21,35
WEEKDAY,Male,Cancelled,55,18,20
WEEKDAY,Male,Cancelled,32,27,35
WEEKDAY,Male,Cancelled,28,24,35
WEEKDAY,Female,Cancelled,33,30,35
WEEKEND,Male,Cancelled,55,3,60
WEEKEND,Male,Cancelled,67,9,35
WEEKDAY,Female,Cancelled,29,6,35
WEEKDAY,Male,Cancelled,34,15,35
WEEKDAY,Male,Cancelled,29,12,35
WEEKDAY,Male,Cancelled,33,21,35
WEEKDAY,Female,Cancelled,39,18,48
WEEKEND,Female,Cancelled,44,27,48
WEEKEND,Female,Delay,46,24,48
WEEKDAY,Female,Delay,28,30,48
WEEKDAY,Female,Delay,33,3,20
WEEKDAY,Female,Delay,55,9,48
WEEKDAY,Female,Delay,32,6,20
WEEKDAY,Female,Delay,46,15,20
WEEKEND,Female,Delay,28,12,16
WEEKEND,Female,Delay,33,21,16
WEEKDAY,Female,Delay,55,18,16
WEEKDAY,Male,Delay,32,27,16
WEEKDAY,Female,Delay,77,24,16
WEEKDAY,Male,Delay,80,30,16
WEEKDAY,Male,Delay,76,3,16
WEEKEND,Male,Delay,36,9,30
WEEKEND,Male,Delay,23,6,30
WEEKDAY,Male,Delay,29,15,30
WEEKDAY,Female,Delay,33,12,30
WEEKDAY,Female,Delay,39,21,30
WEEKDAY,Female,Delay,44,18,18
WEEKDAY,Female,Delay,46,27,30
WEEKEND,Male,Delay,28,24,30
WEEKEND,Male,Delay,33,30,30
WEEKDAY,Male,Delay,60,3,10
WEEKDAY,Male,Delay,50,9,30
WEEKDAY,Male,Delay,28,6,35
WEEKDAY,Female,Delay,33,15,35
WEEKDAY,Male,Delay,55,12,35
WEEKEND,Male,Delay,67,21,35
WEEKEND,Female,Delay,29,18,35
WEEKDAY,Male,Delay,28,27,20
WEEKDAY,Male,Delay,33,24,35
WEEKDAY,Male,Delay,55,30,35
WEEKDAY,Male,Delay,67,3,35
WEEKDAY,Male,Delay,29,9,60
WEEKEND,Female,Delay,44,6,35
WEEKEND,Male,Delay,46,15,35
WEEKDAY,Male,Delay,28,12,35
WEEKDAY,Female,Delay,33,21,35
WEEKDAY,Male,Delay,55,18,35
WEEKDAY,Female,Delay,32,24,48
WEEKDAY,Male,Delay,53,30,48
WEEKEND,Male,Delay,45,3,48
WEEKEND,Male,Delay,23,9,20
WEEKDAY,Male,Delay,23,6,48
WEEKDAY,Male,Delay,23,15,20
WEEKDAY,Female,Delay,46,12,20
WEEKDAY,Male,Delay,55,21,16
WEEKDAY,Female,Delay,55,18,16
WEEKEND,Female,Delay,39,27,16
WEEKEND,Female,Delay,54,24,16
WEEKDAY,Female,Delay,72,30,16
WEEKDAY,Female,Delay,28,3,16
WEEKDAY,Female,Delay,33,9,16
WEEKDAY,Female,Delay,55,6,30
WEEKDAY,Female,Delay,67,15,30
WEEKEND,Female,Delay,29,12,30
WEEKEND,Female,Delay,53,21,30
WEEKDAY,Female,Delay,45,18,30
WEEKDAY,Male,Delay,23,27,18
WEEKDAY,Male,Delay,23,24,30
WEEKDAY,Female,Delay,23,30,30
WEEKDAY,Male,Delay,46,3,30
WEEKEND,Male,Delay,55,9,10
WEEKEND,Male,Delay,55,6,30
WEEKDAY,Male,Delay,67,15,35
WEEKDAY,Male,Delay,29,12,35
WEEKDAY,Female,Delay,53,21,35
WEEKDAY,Male,Delay,45,18,35
WEEKDAY,Male,Delay,23,27,35
WEEKEND,Male,Delay,23,30,35
WEEKEND,Male,Delay,23,3,35
WEEKDAY,Female,Delay,46,9,35
WEEKDAY,Male,Delay,55,6,60
WEEKDAY,Male,Delay,55,15,35
WEEKDAY,Male,Delay,23,12,35
WEEKDAY,Male,Delay,29,21,35
WEEKEND,Male,Delay,33,18,35
WEEKEND,Female,Delay,39,27,35
WEEKDAY,Male,Delay,44,24,48
WEEKDAY,Male,Delay,46,30,48
WEEKDAY,Male,Delay,28,3,48
WEEKDAY,Male,Delay,33,9,48
WEEKDAY,Male,Delay,53,6,20
WEEKEND,Female,On-time,45,15,48
WEEKEND,Male,On-time,23,12,20
WEEKDAY,Female,On-time,23,21,20
WEEKDAY,Female,On-time,23,18,16
WEEKDAY,Female,On-time,46,27,16
WEEKDAY,Female,On-time,55,24,16
WEEKDAY,Female,On-time,55,30,16
WEEKEND,Male,On-time,55,3,16
WEEKEND,Male,On-time,67,9,16
WEEKDAY,Female,On-time,29,6,16
WEEKDAY,Male,On-time,53,15,30
WEEKDAY,Female,On-time,45,12,30
WEEKDAY,Female,On-time,23,21,30
WEEKDAY,Female,On-time,23,18,30
WEEKEND,Female,On-time,23,27,30
WEEKEND,Female,On-time,46,24,18
WEEKDAY,Female,On-time,55,30,30
WEEKDAY,Female,On-time,55,3,30
WEEKDAY,Female,On-time,67,9,30
WEEKDAY,Female,On-time,29,6,10
WEEKDAY,Female,On-time,26,15,30
WEEKEND,Female,On-time,29,12,35
WEEKEND,Male,On-time,30,21,35
WEEKDAY,Male,Cancelled,37,18,35
WEEKDAY,Female,Cancelled,29,27,35
WEEKDAY,Male,Cancelled,78,24,35
WEEKDAY,Male,Cancelled,28,30,20
WEEKDAY,Male,Cancelled,53,3,35
WEEKEND,Male,Cancelled,39,9,35
WEEKEND,Male,Cancelled,48,6,35
WEEKDAY,Female,Cancelled,28,15,60
WEEKDAY,Male,Cancelled,28,12,35
WEEKDAY,Male,Cancelled,33,21,35
WEEKDAY,Male,Cancelled,55,18,35
WEEKDAY,Male,Delay,67,27,35
WEEKEND,Male,Cancelled,29,24,35
WEEKEND,Male,Cancelled,53,30,48
WEEKDAY,Male,Delay,45,3,48
WEEKDAY,Male,Delay,23,9,48
WEEKDAY,Female,Delay,23,6,48
WEEKDAY,Male,Delay,23,15,20
WEEKDAY,Male,Delay,46,12,48
WEEKEND,Male,Delay,55,21,20
WEEKEND,Male,Delay,55,18,20
WEEKDAY,Male,Delay,37,27,16
WEEKDAY,Female,Delay,28,24,16
WEEKDAY,Female,Delay,33,30,16
WEEKDAY,Female,Delay,55,9,16
WEEKDAY,Female,Delay,67,6,16
WEEKEND,Female,Delay,29,15,16
WEEKEND,Female,Delay,30,12,30
WEEKDAY,Female,Delay,36,21,30
WEEKDAY,Female,Delay,23,18,30
WEEKDAY,Female,Delay,29,27,30
WEEKDAY,Female,Delay,33,24,30
WEEKDAY,Female,Delay,39,30,18
WEEKEND,Female,Delay,44,3,30
WEEKEND,Male,Delay,46,9,30
WEEKDAY,Male,Delay,28,6,30
WEEKDAY,Male,Delay,33,15,10
WEEKDAY,Male,Delay,44,12,30
WEEKDAY,Male,Delay,55,21,35
WEEKDAY,Female,Delay,77,18,35
WEEKEND,Male,Delay,33,27,35
WEEKEND,Male,Delay,36,24,35
WEEKDAY,Male,Delay,23,30,35
WEEKDAY,Male,Delay,29,3,20
WEEKDAY,Male,Delay,33,9,35
WEEKDAY,Female,Delay,39,6,35
WEEKDAY,Female,Delay,44,15,35
WEEKEND,Female,Delay,46,12,60
WEEKEND,Female,Delay,28,21,35
WEEKDAY,Female,Delay,33,18,35
WEEKDAY,Male,Delay,37,27,35
WEEKDAY,Male,Delay,48,24,35
WEEKDAY,Male,Delay,38,30,35
WEEKDAY,Male,Delay,34,3,48
WEEKEND,Female,Delay,26,6,48
WEEKEND,Female,Delay,33,15,48
WEEKDAY,Female,Delay,55,12,20
WEEKDAY,Female,Delay,42,21,48
WEEKDAY,Female,Delay,62,18,20
WEEKDAY,Female,Delay,37,27,20
WEEKDAY,Female,Delay,73,24,16
WEEKEND,Female,Delay,48,30,16
WEEKEND,Male,Delay,25,3,16
WEEKDAY,Male,Delay,27,9,16
WEEKDAY,Male,Delay,28,6,16
WEEKDAY,Male,Delay,24,15,16
WEEKDAY,Male,Delay,34,12,16
WEEKDAY,Male,Delay,32,21,30
WEEKEND,Male,Delay,30,18,30
WEEKEND,Male,Delay,71,27,30
WEEKDAY,Male,Delay,25,24,30
WEEKDAY,Male,Delay,32,30,30
WEEKDAY,Female,Delay,35,3,18
WEEKDAY,Female,Delay,44,9,30
WEEKDAY,Female,Delay,55,6,30
WEEKEND,Female,Delay,38,15,30
WEEKEND,Female,Delay,69,12,10
WEEKDAY,Female,Delay,78,21,30
WEEKDAY,Female,Delay,28,18,35
WEEKDAY,Female,Delay,53,27,35
WEEKDAY,Female,Delay,39,24,35
WEEKDAY,Female,Delay,48,30,35
WEEKEND,Female,Delay,28,3,35
WEEKEND,Male,Delay,37,6,35
WEEKDAY,Male,Delay,48,15,35
WEEKDAY,Male,Delay,38,12,35
WEEKDAY,Male,Delay,34,21,60
WEEKDAY,Male,Delay,26,18,35
WEEKDAY,Female,Delay,25,27,35
WEEKEND,Female,Delay,32,24,35
WEEKEND,Female,Delay,37,30,35
WEEKDAY,Female,Delay,48,3,35
WEEKDAY,Female,Delay,26,9,48
WEEKDAY,Female,Delay,37,6,48
