START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,Days,Gender,Status ,Rider Age,Fare,Ride_Duration
1/19/2016 10:55,1/19/2016 11:09,Business,LA Amtrak station,LA Downtown,7.6,Temporary Site,WEEKDAY,Male,On-time,33,20,45
1/20/2016 10:36,1/20/2016 11:11,Business,Chicago Downtown,Chicago suburb,17.1,Meeting,WEEKEND,Female,On-time,42,16,45
1/20/2016 11:48,1/20/2016 12:19,Business,Dallas Downtown,Dallas airport,15.1,Meeting,WEEKEND,Female,On-time,38,28,45
1/20/2016 13:25,1/20/2016 14:19,Business,Chicago suburb,Chicago Downtown,40.2,Customer Visit,WEEKEND,Female,On-time,36,24,45
1/21/2016 14:25,1/21/2016 14:29,Business,Chicago Downtown,Chicago Downtown,1.6,Errand/Supplies,WEEKEND,Female,On-time,38,36,45
1/21/2016 14:43,1/21/2016 14:51,Business,Chicago Downtown,Chicago Downtown,2.4,Meal/Entertain,WEEKEND,Female,On-time,67,32,45
1/21/2016 16:01,1/21/2016 16:06,Business,Chicago Downtown,Chicago Downtown,1,Meal/Entertain,WEEKEND,Female,On-time,70,40,45
1/26/2016 10:41,1/26/2016 10:50,Business,LA Downtown,LA Amtrak station,2,Meal/Entertain,WEEKEND,Female,On-time,80,4,45
1/26/2016 12:33,1/26/2016 12:41,Business,LA Amtrak station,LA Downtown,2.3,Errand/Supplies,WEEKEND,Female,On-time,38,12,45
1/26/2016 16:24,1/26/2016 16:32,Business,LA Downtown,Westpark Place,1.9,Errand/Supplies,WEEKEND,Female,On-time,76,8,45
1/26/2016 17:17,1/26/2016 17:22,Business,Chicago Downtown,Chicago Downtown,1.4,Errand/Supplies,WEEKEND,Female,On-time,37,20,45
1/26/2016 17:27,1/26/2016 17:29,Business,Chicago Downtown,Chicago Downtown,0.5,Errand/Supplies,WEEKEND,Female,Cancelled,28,16,30
1/27/2016 9:24,1/27/2016 9:31,Business,Chicago Downtown,Chicago Downtown,1.8,Meeting,WEEKEND,Female,Cancelled,64,28,30
1/27/2016 10:19,1/27/2016 10:48,Business,Chicago Downtown,Chicago Suburb,18.7,Customer Visit,WEEKEND,Female,Delay,39,24,30
1/27/2016 12:34,1/27/2016 12:44,Business,Boston Downtown,Boston tea Party,3.4,Customer Visit,WEEKEND,Female,Delay,77,36,30
1/27/2016 14:05,1/27/2016 14:13,Business,Dallas Downtown,Dallas Downtown,2.7,Customer Visit,WEEKEND,Female,On-time,72,32,30
1/27/2016 14:46,1/27/2016 15:08,Business,Chicago Downtown,Chicago Downtown,12.9,Customer Visit,WEEKDAY,Female,On-time,29,40,30
1/28/2016 12:28,1/28/2016 13:00,Business,Chicago Downtown,Raleigh,19,Temporary Site,WEEKDAY,Female,On-time,70,4,30
1/28/2016 15:11,1/28/2016 15:31,Business,West Palm Beach,West Palm Beach,14.7,Meeting,WEEKDAY,Female,On-time,76,12,30
1/28/2016 16:21,1/28/2016 16:51,Business,Chicago Downtown,Chicago Downtown,15.7,Meeting,WEEKDAY,Male,UNKNOWN,20,8,30
1/29/2016 9:31,1/29/2016 9:45,Business,Chicago Downtown,Chicago Downtown,4.6,Customer Visit,WEEKDAY,Male,UNKNOWN,26,20,30
1/29/2016 10:56,1/29/2016 11:07,Business,Chicago Downtown,Chicago Downtown,5.2,Meeting,WEEKEND,Male,UNKNOWN,27,16,30
1/29/2016 11:43,1/29/2016 12:03,Business,Chicago Downtown,Durham,10.4,Meeting,WEEKEND,Male,UNKNOWN,28,28,30
1/29/2016 13:24,1/29/2016 13:47,Business,Chicago Downtown,Chicago Downtown,10.1,Meeting,WEEKDAY,Male,UNKNOWN,23,24,30
1/29/2016 18:31,1/29/2016 18:52,Business,Chicago Downtown,Apex,5.8,Errand/Supplies,WEEKDAY,Male,UNKNOWN,28,36,20
1/29/2016 21:21,1/29/2016 21:40,Business,Chicago Downtown,Chicago Downtown,5.5,Meal/Entertain,WEEKDAY,Male,UNKNOWN,33,32,20
1/30/2016 16:21,1/30/2016 16:33,Business,Chicago Downtown,Apex,5.7,Errand/Supplies,WEEKDAY,Male,On-time,76,40,20
1/30/2016 18:09,1/30/2016 18:24,Business,Chicago Downtown,Chicago Downtown,5.7,Customer Visit,WEEKDAY,Male,On-time,54,4,20
2/1/2016 10:35,2/1/2016 11:15,Business,Chicago Downtown,Chapel Hill,19.4,Customer Visit,WEEKEND,Male,On-time,38,12,20
2/1/2016 12:10,2/1/2016 12:43,Business,Milwaukee Downtown,Milwaukee Downtown,23.3,Customer Visit,WEEKEND,Male,On-time,47,8,20
2/1/2016 12:56,2/1/2016 13:07,Business,LA amtrak station,LA Downtown,3.9,Meal/Entertain,WEEKDAY,Male,On-time,33,20,20
2/2/2016 13:04,2/2/2016 13:23,Business,LA Downtown,Williamsburg Manor,8.3,Meeting,WEEKDAY,Male,On-time,76,16,20
2/2/2016 13:51,2/2/2016 14:06,Business,Chicago Downtown,Chicago Downtown,6,Errand/Supplies,WEEKDAY,Male,On-time,28,28,20
2/2/2016 14:38,2/2/2016 14:42,Business,Chicago Downtown,Chicago Downtown,1.6,Errand/Supplies,WEEKDAY,Male,On-time,64,24,20
2/4/2016 8:40,2/4/2016 9:01,Business,Chicago Downtown,Chicago Suburb,5.2,Errand/Supplies,WEEKDAY,Male,On-time,76,36,20
2/4/2016 9:37,2/4/2016 10:09,Business,Chicago Suburb,Chicago Downtown,9.7,Meal/Entertain,WEEKEND,Male,On-time,53,32,20
2/4/2016 10:26,2/4/2016 10:32,Business,Chicago Downtown,Chicago Downtown,1.6,Meal/Entertain,WEEKEND,Male,On-time,45,40,20
2/4/2016 15:59,2/4/2016 16:03,Business,Chicago Downtown,Chicago Downtown,1.1,Meal/Entertain,WEEKDAY,Male,On-time,23,4,20
2/4/2016 16:35,2/4/2016 16:39,Business,Chicago Downtown,Chicago Downtown,1.6,Meal/Entertain,WEEKDAY,Male,On-time,23,12,20
2/4/2016 18:04,2/4/2016 18:31,Business,LA Downtown,Macgregor Downs,9,Meeting,WEEKDAY,Male,On-time,64,8,62
2/4/2016 20:36,2/4/2016 20:55,Business,Chicago Downtown,Chicago Downtown,7.7,Meeting,WEEKDAY,Male,On-time,49,20,62
2/5/2016 11:47,2/5/2016 12:07,Business,Chicago Downtown,Durham,10.4,Meeting,WEEKDAY,Male,On-time,33,16,62
2/5/2016 13:22,2/5/2016 13:41,Business,Chicago Downtown,Chicago Downtown,10.4,Meeting,WEEKEND,Male,On-time,45,28,62
2/6/2016 16:20,2/6/2016 16:53,Business,Chicago Downtown,Raleigh,11.4,Between Offices,WEEKEND,Male,On-time,76,24,62
2/6/2016 18:57,2/6/2016 19:21,Business,Chicago Downtown,Chicago Downtown,9,Errand/Supplies,WEEKDAY,Male,On-time,76,36,62
2/6/2016 19:28,2/6/2016 19:37,Business,LA Downtown,LA Downtown,3.2,Meal/Entertain,WEEKDAY,Male,On-time,53,32,62
2/7/2016 16:49,2/7/2016 17:01,Business,Chicago Downtown,Apex,5.6,Errand/Supplies,WEEKDAY,Male,On-time,76,40,62
2/7/2016 18:03,2/7/2016 18:17,Business,Chicago Downtown,Chicago Downtown,5.7,Customer Visit,WEEKDAY,Male,On-time,54,4,62
2/7/2016 18:39,2/7/2016 18:53,Business,Chicago Downtown,Chicago Suburb,6.1,Temporary Site,WEEKDAY,Male,On-time,38,12,62
2/7/2016 20:22,2/7/2016 20:40,Business,Chicago Suburb,Chicago Downtown,6.1,Meeting,WEEKEND,Male,On-time,64,8,62
2/8/2016 12:57,2/8/2016 13:08,Business,LA Downtown,Edgehill Farms,4.3,Meal/Entertain,WEEKEND,Male,On-time,49,20,35
2/8/2016 14:00,2/8/2016 14:10,Business,LA Downtown,LA Downtown,2.7,Meal/Entertain,WEEKDAY,Male,On-time,33,16,40
2/9/2016 10:54,2/9/2016 11:07,Personal,LA Downtown,Northwoods,5.3,Other,WEEKDAY,Male,On-time,20,28,25
2/9/2016 11:43,2/9/2016 11:50,Personal,Newjersey Airport,Newjersey Downtown,3,Other,WEEKDAY,Male,On-time,26,24,20
2/9/2016 13:36,2/9/2016 13:52,Personal,Chicago Suburb,Chicago Suburb,5.1,Other,WEEKDAY,Male,On-time,27,36,19
2/9/2016 13:58,2/9/2016 14:02,Personal,LA Downtown,LA Downtown,1.5,Other,WEEKDAY,Male,On-time,28,32,20
2/9/2016 18:55,2/9/2016 19:11,Business,Chicago Downtown,Chicago Suburb,6.1,Other,WEEKEND,Male,On-time,38,40,40
2/9/2016 20:24,2/9/2016 20:40,Business,Chicago Suburb,Chicago Downtown,6.1,Meal/Entertain,WEEKEND,Male,On-time,67,4,60
2/11/2016 16:28,2/11/2016 17:10,Business,Chicago Downtown,Raleigh,17.3,Meal/Entertain,WEEKDAY,Male,On-time,70,12,63
2/11/2016 17:49,2/11/2016 18:10,Business,LA Downtown,LA Downtown,5.7,Meal/Entertain,WEEKDAY,Male,On-time,80,8,40
2/11/2016 18:24,2/11/2016 18:46,Business,Chicago Downtown,Chicago Downtown,13.5,Temporary Site,WEEKDAY,Male,On-time,27,20,40
2/11/2016 20:36,2/11/2016 20:51,Business,Chicago Suburb,Chicago Downtown,6.1,Temporary Site,WEEKDAY,Male,On-time,28,16,40
2/12/2016 8:21,2/12/2016 8:42,Business,Chicago Downtown,Durham,8.5,Temporary Site,WEEKDAY,Male,On-time,23,28,40
2/12/2016 10:45,2/12/2016 10:52,Business,Chicago Downtown,Chicago Suburb,2.6,Temporary Site,WEEKEND,Male,On-time,33,24,40
2/12/2016 11:14,2/12/2016 11:35,Business,Chicago Suburb,Raleigh,17,Customer Visit,WEEKEND,Male,On-time,76,36,40
2/12/2016 13:02,2/12/2016 13:36,Business,Chicago Downtown,Chicago Downtown,18,Meeting,WEEKDAY,Male,On-time,54,32,40
2/12/2016 14:49,2/12/2016 15:06,Business,Chicago Downtown,Chicago Suburb,8.4,Meeting,WEEKDAY,Male,On-time,38,40,40
2/12/2016 15:33,2/12/2016 16:06,Business,Chicago Suburb,Chicago Downtown,11.5,Customer Visit,WEEKDAY,Male,On-time,42,4,40
2/13/2016 14:21,2/13/2016 14:41,Business,Chicago Downtown,Chicago Suburb,8.9,Meeting,WEEKEND,Male,On-time,38,12,14
2/13/2016 23:45,2/14/2016 0:01,Personal,LA Downtown,LA amtrak station,2.7,Other,WEEKEND,Male,On-time,36,8,40
2/14/2016 0:50,2/14/2016 1:00,Personal,Richmond hindu temple ,Richmond Downtown,1.8,Other,WEEKEND,Male,On-time,53,20,40
2/14/2016 14:07,2/14/2016 14:40,Business,LA Downtown,LA amtrak station,8.1,Meeting,WEEKEND,Male,On-time,45,16,40
2/14/2016 14:46,2/14/2016 15:03,Business,Boston Downtown,Boston Downtown West,2,Meeting,WEEKEND,Male,On-time,23,28,40
2/14/2016 16:35,2/14/2016 17:02,Business,Richmond hindu temple,Long Island City,13,Meeting,WEEKEND,Male,On-time,23,24,40
2/14/2016 17:06,2/14/2016 17:29,Business,NewYork Downtown,NewYork Downtown,13.9,Meeting,WEEKDAY,Male,On-time,36,36,40
2/16/2016 3:21,2/16/2016 4:13,Business,Dallas Airport,Dallas Downtown,43.7,Customer Visit,WEEKDAY,Male,On-time,23,32,40
2/16/2016 8:29,2/16/2016 9:34,Business,Chicago Suburb,Chicago Suburb,14.1,Other,WEEKDAY,Male,On-time,29,40,40
2/16/2016 10:31,2/16/2016 10:41,Business,Milwaukee Downtown,Milwaukee Downtown,2.6,Other,WEEKDAY,Male,On-time,33,4,40
2/16/2016 11:32,2/16/2016 12:02,Business,Milwaukee Downtown,Milwaukee Downtown,4.5,Other,WEEKDAY,Male,On-time,39,12,40
2/16/2016 12:39,2/16/2016 12:42,Business,Milwaukee Downtown,Milwaukee Downtown,1.7,Other,WEEKEND,Male,On-time,20,8,40
2/16/2016 13:43,2/16/2016 13:55,Business,Milwaukee Downtown,Milwaukee Downtown,1.8,Temporary Site,WEEKEND,Male,On-time,26,20,40
2/16/2016 16:34,2/16/2016 17:10,Business,Milwaukee Downtown,Milwaukee Downtown,6,Other,WEEKDAY,Male,On-time,27,16,25
2/16/2016 17:17,2/16/2016 17:26,Business,Milwaukee Downtown,Milwaukee Downtown,1.1,Meal/Entertain,WEEKDAY,Male,On-time,28,28,40
2/16/2016 17:40,2/16/2016 17:44,Business,Newjersey Airport,Newjersey Downtown,3.6,Errand/Supplies,WEEKDAY,Male,On-time,23,24,40
2/17/2016 13:18,2/17/2016 14:04,Business,Chicago Suburb,Chicago Suburb,14.7,Temporary Site,WEEKDAY,Male,On-time,36,36,40
2/17/2016 15:17,2/17/2016 15:22,Business,Milwaukee Downtown,Milwaukee Downtown,1.7,Meal/Entertain,WEEKDAY,Male,On-time,23,32,40
2/17/2016 15:33,2/17/2016 16:17,Business,Milwaukee Downtown,Milwaukee Downtown,21.4,Temporary Site,WEEKEND,Male,On-time,29,40,40
2/17/2016 16:38,2/17/2016 16:43,Business,Dallas Airport,Dallas Downtown,0.5,Errand/Supplies,WEEKEND,Male,On-time,33,4,40
2/18/2016 8:19,2/18/2016 8:27,Business,Chicago Suburb,Chicago Suburb,23.5,Temporary Site,WEEKDAY,Male,On-time,39,12,40
2/18/2016 14:03,2/18/2016 14:45,Business,Chicago Suburb,Chicago Suburb,12.7,Temporary Site,WEEKDAY,Male,On-time,44,8,40
2/18/2016 15:16,2/18/2016 15:31,Business,Richmond hindu temple ,Richmond Downtown,6,Temporary Site,WEEKDAY,Male,On-time,46,20,40
2/18/2016 18:44,2/18/2016 18:58,Business,Chicago Suburb,Chicago Suburb,5.2,Customer Visit,WEEKDAY,Male,On-time,28,16,20
2/18/2016 19:27,2/18/2016 20:08,Business,Richmond hindu temple ,Richmond Downtown,10,Meeting,WEEKDAY,Male,On-time,33,28,40
2/19/2016 9:02,2/19/2016 9:14,Business,Chicago Suburb,Chicago Suburb,18.3,Meeting,WEEKEND,Male,On-time,55,24,40
2/19/2016 9:21,2/19/2016 9:51,Business,Chicago Suburb,Chicago Suburb,11.2,Meeting,WEEKEND,Male,On-time,19,36,40
2/19/2016 10:21,2/19/2016 10:48,Business,Chicago Suburb,Chicago Suburb,7.6,Meeting,WEEKDAY,Male,On-time,25,32,40
2/19/2016 11:20,2/19/2016 11:26,Personal,Richmond hindu temple ,Richmond Downtown,1.5,Other,WEEKDAY,Male,On-time,35,40,40
2/19/2016 11:45,2/19/2016 11:50,Personal,Richmond hindu temple ,Richmond Downtown,1,Other,WEEKDAY,Male,On-time,55,4,40
2/19/2016 12:09,2/19/2016 12:27,Business,Richmond hindu temple ,Richmond Downtown,7.3,Temporary Site,WEEKDAY,Male,On-time,45,12,40
2/19/2016 16:26,2/19/2016 16:45,Business,Chicago Suburb,Chicago Suburb,3.5,Other,WEEKDAY,Male,On-time,37,8,40
2/19/2016 17:09,2/19/2016 17:20,Business,Richmond hindu temple ,Richmond Downtown,4.2,Other,WEEKEND,Male,On-time,26,20,40
2/19/2016 20:08,2/19/2016 20:30,Personal,Richmond hindu temple ,Richmond Downtown,13.6,Other,WEEKEND,Male,On-time,77,16,75
2/19/2016 20:34,2/19/2016 20:51,Personal,Chicago Suburb,Chicago Suburb,2.5,Other,WEEKDAY,Male,On-time,57,28,75
2/20/2016 7:59,2/20/2016 8:32,Personal,Chicago Suburb,Chicago Suburb,14.4,Other,WEEKDAY,Male,On-time,67,24,75
2/20/2016 10:48,2/20/2016 10:56,Personal,Richmond hindu temple ,Richmond Downtown,3,Other,WEEKDAY,Male,On-time,29,36,75
2/20/2016 11:45,2/20/2016 11:53,Personal,Richmond hindu temple ,Richmond Downtown,1.5,Other,WEEKDAY,Male,On-time,31,32,75
2/20/2016 12:41,2/20/2016 13:17,Business,Richmond hindu temple ,Richmond Downtown,18.4,Other,WEEKDAY,Male,On-time,35,40,60
2/20/2016 14:50,2/20/2016 15:54,Business,Chicago Downtown,Chicago Downtown,23.1,Meeting,WEEKEND,Male,On-time,38,4,75
2/20/2016 16:59,2/20/2016 17:54,Personal,Chicago Downtown,Chicago Downtown,16.5,Other,WEEKEND,Male,On-time,39,12,75
2/20/2016 18:00,2/20/2016 18:03,Business,Chicago Suburb,Chicago Suburb,3.2,Errand/Supplies,WEEKDAY,Male,On-time,40,8,75
2/20/2016 19:28,2/20/2016 19:49,Business,Chicago Suburb,Chicago Suburb,7.7,Errand/Supplies,WEEKDAY,Male,On-time,62,20,75
2/21/2016 9:07,2/21/2016 9:46,Business,Chicago Suburb,Chicago Suburb,14.5,Other,WEEKDAY,Male,On-time,43,16,75
2/21/2016 11:39,2/21/2016 11:43,Business,Chicago Suburb,Chicago Suburb,2.4,Errand/Supplies,WEEKDAY,Male,On-time,23,28,65
2/21/2016 11:47,2/21/2016 12:01,Business,Richmond hindu temple ,Richmond Downtown,4.6,Errand/Supplies,WEEKDAY,Male,On-time,29,24,65
2/21/2016 12:13,2/21/2016 12:35,Business,Richmond hindu temple ,Richmond Downtown,8.8,Meal/Entertain,WEEKEND,Male,On-time,33,36,65
2/21/2016 12:51,2/21/2016 13:12,Business,Chicago Suburb,Chicago Suburb,8.3,Temporary Site,WEEKEND,Male,On-time,39,32,19
2/21/2016 13:33,2/21/2016 14:30,Business,Chicago Suburb,Chicago Suburb,22.7,Temporary Site,WEEKDAY,Male,On-time,23,40,65
2/21/2016 14:36,2/21/2016 15:03,Business,Chicago Suburb,Chicago Suburb,13,Temporary Site,WEEKDAY,Male,On-time,33,4,65
2/21/2016 15:14,2/21/2016 15:31,Business,Richmond hindu temple ,Richmond Downtown,8.1,Temporary Site,WEEKDAY,Male,On-time,76,12,65
2/21/2016 15:36,2/21/2016 15:41,Business,Newjersey Airport,Newjersey Downtown,2.2,Meal/Entertain,WEEKDAY,Male,On-time,28,8,24
2/21/2016 16:04,2/21/2016 16:32,Business,Chicago Suburb,Chicago Suburb,9.7,Other,WEEKDAY,Male,On-time,38,20,24
2/21/2016 23:15,2/21/2016 23:52,Business,Chicago Suburb,Chicago Suburb,20,Meeting,WEEKEND,Male,On-time,76,16,24
2/22/2016 21:54,2/22/2016 22:09,Business,Chicago Suburb,Chicago Downtown,8.1,Customer Visit,WEEKEND,Male,On-time,28,28,24
2/24/2016 14:30,2/24/2016 14:35,Business,LA Downtown,Preston,1.5,Other,WEEKDAY,Male,On-time,64,24,24
2/24/2016 15:19,2/24/2016 15:25,Business,LA Downtown,LA Downtown,1.7,Errand/Supplies,WEEKDAY,Male,On-time,76,36,24
2/25/2016 16:27,2/25/2016 16:35,Business,LA Downtown,Heritage Pines,3.1,Errand/Supplies,WEEKDAY,Male,On-time,53,32,24
2/25/2016 16:47,2/25/2016 17:02,Business,Richmond hindu temple ,Richmond Downtown,3.2,Errand/Supplies,WEEKDAY,Male,On-time,45,40,24
2/25/2016 17:16,2/25/2016 17:36,Business,LA Downtown,Tanglewood,6,Meal/Entertain,WEEKDAY,Male,On-time,23,4,24
2/25/2016 18:22,2/25/2016 18:39,Business,LA Downtown,LA Downtown,5.8,Meal/Entertain,WEEKEND,Male,On-time,38,12,24
2/26/2016 9:06,2/26/2016 9:29,Business,LA Downtown,Westpark Place,6.3,Other,WEEKEND,Male,On-time,33,8,20
2/26/2016 11:05,2/26/2016 11:11,Personal,LA amtrak station,LA Downtown,1.7,Other,WEEKDAY,Male,On-time,20,20,20
2/26/2016 11:35,2/26/2016 11:59,Business,Chicago Downtown,Durham,10.6,Meeting,WEEKDAY,Male,On-time,26,16,20
2/26/2016 13:01,2/26/2016 13:24,Business,Chicago Downtown,Chicago Downtown,9.9,Meeting,WEEKDAY,Male,On-time,27,28,20
2/26/2016 14:38,2/26/2016 14:46,Personal,LA Downtown,Westpark Place,1.9,Other,WEEKDAY,Male,On-time,28,24,20
2/26/2016 15:00,2/26/2016 15:18,Personal,LA amtrak station,LA Downtown,4.2,Other,WEEKDAY,Male,On-time,38,36,20
2/26/2016 17:01,2/26/2016 17:12,Personal,Chicago Downtown,Chicago suburb,2,Other,WEEKEND,Male,On-time,29,32,16
2/28/2016 5:22,2/28/2016 5:38,Business,LA Downtown,Waverly Place,7.7,Meeting,WEEKEND,Male,On-time,33,40,20
2/28/2016 9:26,2/28/2016 9:42,Business,LA amtrak station,LA Downtown,6.8,Meeting,WEEKDAY,Male,On-time,39,4,20
2/29/2016 11:07,2/29/2016 11:14,Personal,LA Downtown,Westpark Place,2.1,Other,WEEKDAY,Male,On-time,44,12,27
2/29/2016 11:30,2/29/2016 11:40,Business,Chicago Downtown,Apex,3.8,Meeting,WEEKDAY,Male,On-time,46,8,20
2/29/2016 12:36,2/29/2016 12:48,Business,Chicago Downtown,Chicago Downtown,5.6,Meeting,WEEKDAY,Female,On-time,28,20,26
2/29/2016 14:55,2/29/2016 15:03,Business,LA Downtown,Hazelwood,2.6,Other,WEEKDAY,Female,On-time,33,16,20
2/29/2016 16:40,2/29/2016 17:00,Business,Chicago Downtown,Chicago suburb,6.6,Customer Visit,WEEKEND,Female,On-time,57,28,20
3/1/2016 18:47,3/1/2016 19:10,Business,LA Downtown,Wayne Ridge,8,Meal/Entertain,WEEKEND,Female,On-time,67,24,29
3/1/2016 21:27,3/1/2016 21:45,Business,LA amtrak station,LA Downtown,8,Meeting,WEEKDAY,Female,On-time,29,36,20
3/3/2016 9:45,3/3/2016 9:52,Personal,LA Downtown,Westpark Place,2.2,Other,WEEKDAY,Female,On-time,31,32,20
3/3/2016 11:04,3/3/2016 11:10,Business,LA amtrak station,LA Downtown,2.3,Errand/Supplies,WEEKDAY,Female,On-time,55,40,20
3/3/2016 14:44,3/3/2016 14:58,Business,LA Downtown,Northwoods,5.2,Meal/Entertain,WEEKDAY,Male,On-time,32,4,16
3/3/2016 15:27,3/3/2016 15:48,Business,Chicago Downtown,Raleigh,7.6,Customer Visit,WEEKDAY,Male,On-time,27,12,16
3/3/2016 16:02,3/3/2016 16:42,Business,Chicago Downtown,Chicago Downtown,17.3,Meeting,WEEKEND,Male,On-time,53,8,16
3/4/2016 7:47,3/4/2016 8:06,Business,Chicago Downtown,Durham,9.9,Meeting,WEEKEND,Male,On-time,45,20,16
3/4/2016 9:46,3/4/2016 10:03,Business,Chicago Downtown,Chicago Downtown,9.9,Customer Visit,WEEKDAY,Female,On-time,23,16,16
3/4/2016 11:46,3/4/2016 12:06,Business,Chicago Downtown,Durham,10.4,Meeting,WEEKDAY,Female,On-time,80,28,16
3/4/2016 13:03,3/4/2016 13:25,Business,Chicago Downtown,Chicago Downtown,10.9,Meeting,WEEKDAY,Female,On-time,38,24,16
3/4/2016 13:40,3/4/2016 14:09,Business,Chicago Downtown,Raleigh,15.7,Customer Visit,WEEKDAY,Female,On-time,76,36,30
3/4/2016 15:56,3/4/2016 16:08,Business,Chicago Downtown,Chicago Downtown,4.9,Meal/Entertain,WEEKDAY,Female,On-time,37,32,30
