,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
72,2/4/2016 18:04,2/4/2016 18:31,Business,LA Downtown,Macgregor Downs,9,Meeting
73,2/4/2016 20:36,2/4/2016 20:55,Business,Chicago Downtown,Chicago Downtown,7.7,Meeting
74,2/5/2016 11:47,2/5/2016 12:07,Business,Chicago Downtown,Durham,10.4,Meeting
75,2/5/2016 13:22,2/5/2016 13:41,Business,Chicago Downtown,Chicago Downtown,10.4,Meeting
76,2/6/2016 16:20,2/6/2016 16:53,Business,Chicago Downtown,Raleigh,11.4,Between Offices
77,2/6/2016 18:57,2/6/2016 19:21,Business,Chicago Downtown,Chicago Downtown,9,Errand/Supplies
78,2/6/2016 19:28,2/6/2016 19:37,Business,LA Downtown,LA Downtown,3.2,Meal/Entertain
79,2/7/2016 16:49,2/7/2016 17:01,Business,Chicago Downtown,Apex,5.6,Errand/Supplies
80,2/7/2016 18:03,2/7/2016 18:17,Business,Chicago Downtown,Chicago Downtown,5.7,Customer Visit
81,2/7/2016 18:39,2/7/2016 18:53,Business,Chicago Downtown,Chicago Suburb,6.1,Temporary Site
82,2/7/2016 20:22,2/7/2016 20:40,Business,Chicago Suburb,Chicago Downtown,6.1,Meeting
83,2/8/2016 12:57,2/8/2016 13:08,Business,LA Downtown,Edgehill Farms,4.3,Meal/Entertain
84,2/8/2016 14:00,2/8/2016 14:10,Business,LA Downtown,LA Downtown,2.7,Meal/Entertain
85,2/9/2016 10:54,2/9/2016 11:07,Personal,LA Downtown,Northwoods,5.3,Other
86,2/9/2016 11:43,2/9/2016 11:50,Personal,Newjersey Airport,Newjersey Downtown,3,Other
87,2/9/2016 13:36,2/9/2016 13:52,Personal,Chicago Suburb,Chicago Suburb,5.1,Other
88,2/9/2016 13:58,2/9/2016 14:02,Personal,LA Downtown,LA Downtown,1.5,Other
89,2/9/2016 18:55,2/9/2016 19:11,Business,Chicago Downtown,Chicago Suburb,6.1,Other
90,2/9/2016 20:24,2/9/2016 20:40,Business,Chicago Suburb,Chicago Downtown,6.1,Meal/Entertain
91,2/11/2016 16:28,2/11/2016 17:10,Business,Chicago Downtown,Raleigh,17.3,Meal/Entertain
92,2/11/2016 17:49,2/11/2016 18:10,Business,LA Downtown,LA Downtown,5.7,Meal/Entertain
93,2/11/2016 18:24,2/11/2016 18:46,Business,Chicago Downtown,Chicago Downtown,13.5,Temporary Site
94,2/11/2016 20:36,2/11/2016 20:51,Business,Chicago Suburb,Chicago Downtown,6.1,Temporary Site
95,2/12/2016 8:21,2/12/2016 8:42,Business,Chicago Downtown,Durham,8.5,Temporary Site
96,2/12/2016 10:45,2/12/2016 10:52,Business,Chicago Downtown,Chicago Suburb,2.6,Temporary Site
97,2/12/2016 11:14,2/12/2016 11:35,Business,Chicago Suburb,Raleigh,17,Customer Visit
98,2/12/2016 13:02,2/12/2016 13:36,Business,Chicago Downtown,Chicago Downtown,18,Meeting
99,2/12/2016 14:49,2/12/2016 15:06,Business,Chicago Downtown,Chicago Suburb,8.4,Meeting
100,2/12/2016 15:33,2/12/2016 16:06,Business,Chicago Suburb,Chicago Downtown,11.5,Customer Visit
101,2/13/2016 14:21,2/13/2016 14:41,Business,Chicago Downtown,Chicago Suburb,8.9,Meeting
102,2/13/2016 23:45,2/14/2016 0:01,Personal,LA Downtown,LA amtrak station,2.7,Other
103,2/14/2016 0:50,2/14/2016 1:00,Personal,Richmond hindu temple ,Richmond Downtown,1.8,Other
104,2/14/2016 14:07,2/14/2016 14:40,Business,LA Downtown,LA amtrak station,8.1,Meeting
105,2/14/2016 14:46,2/14/2016 15:03,Business,Boston Downtown,Boston Downtown West,2,Meeting
106,2/14/2016 16:35,2/14/2016 17:02,Business,Richmond hindu temple,Long Island City,13,Meeting
107,2/14/2016 17:06,2/14/2016 17:29,Business,NewYork Downtown,NewYork Downtown,13.9,Meeting
108,2/16/2016 3:21,2/16/2016 4:13,Business,Dallas Airport,Dallas Downtown,43.7,Customer Visit
109,2/16/2016 8:29,2/16/2016 9:34,Business,Chicago Suburb,Chicago Suburb,14.1,Other
110,2/16/2016 10:31,2/16/2016 10:41,Business,Milwaukee Downtown,Milwaukee Downtown,2.6,Other
111,2/16/2016 11:32,2/16/2016 12:02,Business,Milwaukee Downtown,Milwaukee Downtown,4.5,Other
112,2/16/2016 12:39,2/16/2016 12:42,Business,Milwaukee Downtown,Milwaukee Downtown,1.7,Other
113,2/16/2016 13:43,2/16/2016 13:55,Business,Milwaukee Downtown,Milwaukee Downtown,1.8,Temporary Site
114,2/16/2016 16:34,2/16/2016 17:10,Business,Milwaukee Downtown,Milwaukee Downtown,6,Other
115,2/16/2016 17:17,2/16/2016 17:26,Business,Milwaukee Downtown,Milwaukee Downtown,1.1,Meal/Entertain
116,2/16/2016 17:40,2/16/2016 17:44,Business,Newjersey Airport,Newjersey Downtown,3.6,Errand/Supplies
117,2/17/2016 13:18,2/17/2016 14:04,Business,Chicago Suburb,Chicago Suburb,14.7,Temporary Site
118,2/17/2016 15:17,2/17/2016 15:22,Business,Milwaukee Downtown,Milwaukee Downtown,1.7,Meal/Entertain
119,2/17/2016 15:33,2/17/2016 16:17,Business,Milwaukee Downtown,Milwaukee Downtown,21.4,Temporary Site
120,2/17/2016 16:38,2/17/2016 16:43,Business,Dallas Airport,Dallas Downtown,0.5,Errand/Supplies
121,2/18/2016 8:19,2/18/2016 8:27,Business,Chicago Suburb,Chicago Suburb,23.5,Temporary Site
122,2/18/2016 14:03,2/18/2016 14:45,Business,Chicago Suburb,Chicago Suburb,12.7,Temporary Site
123,2/18/2016 15:16,2/18/2016 15:31,Business,Richmond hindu temple ,Richmond Downtown,6,Temporary Site
124,2/18/2016 18:44,2/18/2016 18:58,Business,Chicago Suburb,Chicago Suburb,5.2,Customer Visit
125,2/18/2016 19:27,2/18/2016 20:08,Business,Richmond hindu temple ,Richmond Downtown,10,Meeting
126,2/19/2016 9:02,2/19/2016 9:14,Business,Chicago Suburb,Chicago Suburb,18.3,Meeting
127,2/19/2016 9:21,2/19/2016 9:51,Business,Chicago Suburb,Chicago Suburb,11.2,Meeting
128,2/19/2016 10:21,2/19/2016 10:48,Business,Chicago Suburb,Chicago Suburb,7.6,Meeting
129,2/19/2016 11:20,2/19/2016 11:26,Personal,Richmond hindu temple ,Richmond Downtown,1.5,Other
130,2/19/2016 11:45,2/19/2016 11:50,Personal,Richmond hindu temple ,Richmond Downtown,1,Other
131,2/19/2016 12:09,2/19/2016 12:27,Business,Richmond hindu temple ,Richmond Downtown,7.3,Temporary Site
132,2/19/2016 16:26,2/19/2016 16:45,Business,Chicago Suburb,Chicago Suburb,3.5,Other
133,2/19/2016 17:09,2/19/2016 17:20,Business,Richmond hindu temple ,Richmond Downtown,4.2,Other
134,2/19/2016 20:08,2/19/2016 20:30,Personal,Richmond hindu temple ,Richmond Downtown,13.6,Other
135,2/19/2016 20:34,2/19/2016 20:51,Personal,Chicago Suburb,Chicago Suburb,2.5,Other
136,2/20/2016 7:59,2/20/2016 8:32,Personal,Chicago Suburb,Chicago Suburb,14.4,Other
137,2/20/2016 10:48,2/20/2016 10:56,Personal,Richmond hindu temple ,Richmond Downtown,3,Other
138,2/20/2016 11:45,2/20/2016 11:53,Personal,Richmond hindu temple ,Richmond Downtown,1.5,Other
139,2/20/2016 12:41,2/20/2016 13:17,Business,Richmond hindu temple ,Richmond Downtown,18.4,Other
140,2/20/2016 14:50,2/20/2016 15:54,Business,Chicago Downtown,Chicago Downtown,23.1,Meeting
141,2/20/2016 16:59,2/20/2016 17:54,Personal,Chicago Downtown,Chicago Downtown,16.5,Other
142,2/20/2016 18:00,2/20/2016 18:03,Business,Chicago Suburb,Chicago Suburb,3.2,Errand/Supplies
143,2/20/2016 19:28,2/20/2016 19:49,Business,Chicago Suburb,Chicago Suburb,7.7,Errand/Supplies
144,2/21/2016 9:07,2/21/2016 9:46,Business,Chicago Suburb,Chicago Suburb,14.5,Other
145,2/21/2016 11:39,2/21/2016 11:43,Business,Chicago Suburb,Chicago Suburb,2.4,Errand/Supplies
146,2/21/2016 11:47,2/21/2016 12:01,Business,Richmond hindu temple ,Richmond Downtown,4.6,Errand/Supplies
147,2/21/2016 12:13,2/21/2016 12:35,Business,Richmond hindu temple ,Richmond Downtown,8.8,Meal/Entertain
148,2/21/2016 12:51,2/21/2016 13:12,Business,Chicago Suburb,Chicago Suburb,8.3,Temporary Site
149,2/21/2016 13:33,2/21/2016 14:30,Business,Chicago Suburb,Chicago Suburb,22.7,Temporary Site
150,2/21/2016 14:36,2/21/2016 15:03,Business,Chicago Suburb,Chicago Suburb,13,Temporary Site
151,2/21/2016 15:14,2/21/2016 15:31,Business,Richmond hindu temple ,Richmond Downtown,8.1,Temporary Site
152,2/21/2016 15:36,2/21/2016 15:41,Business,Newjersey Airport,Newjersey Downtown,2.2,Meal/Entertain
153,2/21/2016 16:04,2/21/2016 16:32,Business,Chicago Suburb,Chicago Suburb,9.7,Other
154,2/21/2016 23:15,2/21/2016 23:52,Business,Chicago Suburb,Chicago Suburb,20,Meeting
155,2/22/2016 21:54,2/22/2016 22:09,Business,Chicago Suburb,Chicago Downtown,8.1,Customer Visit
156,2/24/2016 14:30,2/24/2016 14:35,Business,LA Downtown,Preston,1.5,Other
157,2/24/2016 15:19,2/24/2016 15:25,Business,LA Downtown,LA Downtown,1.7,Errand/Supplies
158,2/25/2016 16:27,2/25/2016 16:35,Business,LA Downtown,Heritage Pines,3.1,Errand/Supplies
159,2/25/2016 16:47,2/25/2016 17:02,Business,Richmond hindu temple ,Richmond Downtown,3.2,Errand/Supplies
160,2/25/2016 17:16,2/25/2016 17:36,Business,LA Downtown,Tanglewood,6,Meal/Entertain
161,2/25/2016 18:22,2/25/2016 18:39,Business,LA Downtown,LA Downtown,5.8,Meal/Entertain
162,2/26/2016 9:06,2/26/2016 9:29,Business,LA Downtown,Westpark Place,6.3,Other
163,2/26/2016 11:05,2/26/2016 11:11,Personal,LA amtrak station,LA Downtown,1.7,Other
164,2/26/2016 11:35,2/26/2016 11:59,Business,Chicago Downtown,Durham,10.6,Meeting
165,2/26/2016 13:01,2/26/2016 13:24,Business,Chicago Downtown,Chicago Downtown,9.9,Meeting
166,2/26/2016 14:38,2/26/2016 14:46,Personal,LA Downtown,Westpark Place,1.9,Other
167,2/26/2016 15:00,2/26/2016 15:18,Personal,LA amtrak station,LA Downtown,4.2,Other
168,2/26/2016 17:01,2/26/2016 17:12,Personal,Chicago Downtown,Chicago suburb,2,Other
169,2/28/2016 5:22,2/28/2016 5:38,Business,LA Downtown,Waverly Place,7.7,Meeting
170,2/28/2016 9:26,2/28/2016 9:42,Business,LA amtrak station,LA Downtown,6.8,Meeting
171,2/29/2016 11:07,2/29/2016 11:14,Personal,LA Downtown,Westpark Place,2.1,Other
172,2/29/2016 11:30,2/29/2016 11:40,Business,Chicago Downtown,Apex,3.8,Meeting
173,2/29/2016 12:36,2/29/2016 12:48,Business,Chicago Downtown,Chicago Downtown,5.6,Meeting
174,2/29/2016 14:55,2/29/2016 15:03,Business,LA Downtown,Hazelwood,2.6,Other
175,2/29/2016 16:40,2/29/2016 17:00,Business,Chicago Downtown,Chicago suburb,6.6,Customer Visit
176,3/1/2016 18:47,3/1/2016 19:10,Business,LA Downtown,Wayne Ridge,8,Meal/Entertain
177,3/1/2016 21:27,3/1/2016 21:45,Business,LA amtrak station,LA Downtown,8,Meeting
178,3/3/2016 9:45,3/3/2016 9:52,Personal,LA Downtown,Westpark Place,2.2,Other
179,3/3/2016 11:04,3/3/2016 11:10,Business,LA amtrak station,LA Downtown,2.3,Errand/Supplies
180,3/3/2016 14:44,3/3/2016 14:58,Business,LA Downtown,Northwoods,5.2,Meal/Entertain
181,3/3/2016 15:27,3/3/2016 15:48,Business,Chicago Downtown,Raleigh,7.6,Customer Visit
182,3/3/2016 16:02,3/3/2016 16:42,Business,Chicago Downtown,Chicago Downtown,17.3,Meeting
183,3/4/2016 7:47,3/4/2016 8:06,Business,Chicago Downtown,Durham,9.9,Meeting
184,3/4/2016 9:46,3/4/2016 10:03,Business,Chicago Downtown,Chicago Downtown,9.9,Customer Visit
185,3/4/2016 11:46,3/4/2016 12:06,Business,Chicago Downtown,Durham,10.4,Meeting
186,3/4/2016 13:03,3/4/2016 13:25,Business,Chicago Downtown,Chicago Downtown,10.9,Meeting
187,3/4/2016 13:40,3/4/2016 14:09,Business,Chicago Downtown,Raleigh,15.7,Customer Visit
188,3/4/2016 15:56,3/4/2016 16:08,Business,Chicago Downtown,Chicago Downtown,4.9,Meal/Entertain
189,3/4/2016 16:16,3/4/2016 16:22,Business,Dallas Downtown,Depot Historic District,0.8,Errand/Supplies
190,3/4/2016 16:43,3/4/2016 17:12,Business,Chicago Downtown,Chicago Downtown,13.5,Meeting
191,3/4/2016 19:02,3/4/2016 19:08,Business,Chicago Downtown,Chicago Suburb,1.9,Temporary Site
192,3/4/2016 19:16,3/4/2016 19:25,Business,Chicago Suburb,Chicago Downtown,2,Meal/Entertain
193,3/5/2016 11:44,3/5/2016 11:59,Business,Chicago Downtown,Chicago Suburb,6.5,Meal/Entertain
194,3/5/2016 12:57,3/5/2016 13:12,Personal,LA amtrak station,LA Downtown,4.2,Other
195,3/5/2016 14:08,3/5/2016 14:18,Personal,Chicago Suburb,Chicago Downtown,3.5,Other
196,3/5/2016 14:39,3/5/2016 15:01,Business,LA Downtown,Wayne Ridge,7.8,Meal/Entertain
197,3/5/2016 16:52,3/5/2016 17:13,Business,Chicago Downtown,Chicago Suburb,7.8,Meal/Entertain
198,3/5/2016 17:23,3/5/2016 17:34,Business,Chicago Suburb,Chicago Downtown,3.9,Meal/Entertain
199,3/7/2016 9:10,3/7/2016 9:20,Business,LA Downtown,Edgehill Farms,2.8,Errand/Supplies
200,3/7/2016 9:23,3/7/2016 9:47,Business,Chicago Downtown,Raleigh,12.4,Customer Visit
201,3/7/2016 12:10,3/7/2016 12:26,Business,Dallas Downtown,Meredith Townes,5.9,Customer Visit
202,3/7/2016 13:57,3/7/2016 14:18,Business,West Palm Beach,West Palm Beach,9.4,Meeting
203,3/7/2016 15:19,3/7/2016 15:45,Business,Chicago Downtown,Chicago Downtown,11.9,Between Offices
204,3/8/2016 14:38,3/8/2016 14:55,Business,LA Downtown,Waverly Place,7.2,Between Offices
205,3/8/2016 15:35,3/8/2016 16:00,Business,LA amtrak station,LA Downtown,7.6,Meal/Entertain
206,3/8/2016 16:13,3/8/2016 16:25,Personal,LA Downtown,LA Downtown,1.6,Other
207,3/10/2016 3:36,3/10/2016 3:53,Business,Chicago Downtown,Chicago Suburb,8.4,Meeting
208,3/10/2016 10:08,3/10/2016 10:37,Business,LA Downtown,LA amtrak station,12.8,Meeting
209,3/10/2016 14:39,3/10/2016 14:55,Business,LA amtrak station,LA Downtown,2.3,Other
210,3/10/2016 16:18,3/10/2016 16:28,Business,LA amtrak station,LA Downtown,1.6,Other
211,3/11/2016 9:47,3/11/2016 9:59,Business,LA Downtown,LA Downtown,2,Meal/Entertain
212,3/11/2016 10:29,3/11/2016 10:36,Business,Dallas Downtown,Dallas airport,0.8,Other
213,3/11/2016 11:57,3/11/2016 12:04,Business,Chicago Downtown,Chicago Downtown,1.2,Other
214,3/11/2016 13:43,3/11/2016 13:51,Business,Chicago Downtown,Chicago Downtown,1,Other
215,3/11/2016 19:21,3/11/2016 19:35,Business,LA amtrak station,LA Downtown,2.1,Other
216,3/12/2016 9:13,3/12/2016 9:22,Business,LA Downtown,LA Downtown,2.2,Other
217,3/12/2016 18:27,3/12/2016 18:37,Personal,LA amtrak station,LA Downtown,1.9,Other
218,3/13/2016 9:07,3/13/2016 9:37,Business,LA Downtown,LA Downtown,5.7,Meal/Entertain
219,3/13/2016 18:23,3/13/2016 18:43,Business,LA amtrak station,LA Downtown,8.4,Meal/Entertain
220,3/13/2016 20:07,3/13/2016 20:28,Business,Chicago Downtown,Chicago suburb,6.2,Meal/Entertain
221,3/13/2016 20:39,3/13/2016 20:58,Business,LA Downtown,LA Downtown,10.5,Meal/Entertain
222,3/13/2016 21:11,3/13/2016 21:23,Business,Newjersey Airport,Newjersey Downtown,7.2,Meal/Entertain
223,3/13/2016 22:19,3/13/2016 22:39,Business,Dallas airport,Dallas Downtown,12.5,Other
224,3/14/2016 8:34,3/14/2016 8:49,Business,LA Downtown,LA Downtown,2,Errand/Supplies
225,3/14/2016 18:39,3/14/2016 18:55,Business,LA amtrak station,LA Downtown,2.7,Other
226,3/15/2016 8:45,3/15/2016 8:57,Business,LA Downtown,LA Downtown,2,Meal/Entertain
227,3/15/2016 20:48,3/15/2016 21:01,Business,Richmond hindu temple,Richmond Downtown,2.8,Meal/Entertain
228,3/16/2016 11:34,3/16/2016 11:45,Business,LA Downtown,LA Downtown,1.7,Meal/Entertain
229,3/16/2016 14:44,3/16/2016 14:55,Business,Dallas airport,Dallas Downtown,2,Other
230,3/16/2016 18:43,3/16/2016 18:56,Business,LA amtrak station,LA Downtown,2.1,Meal/Entertain
231,3/17/2016 0:33,3/17/2016 0:44,Personal,Richmond hindu temple,Richmond Downtown,1.7,Other
232,3/17/2016 12:52,3/17/2016 15:11,Business,Ohio Suburb,Ohio Suburb,136,Customer Visit
233,3/17/2016 15:16,3/17/2016 15:58,Business,Dallas Airport,Dallas Downtown,30.2,Meeting
234,3/17/2016 17:20,3/17/2016 18:02,Business,Boston Downtown,Alief,15.5,Meal/Entertain
235,3/17/2016 18:47,3/17/2016 19:09,Personal,Miami beach,Miami beach,4.9,Other
236,3/17/2016 20:57,3/17/2016 21:28,Personal,Miami beach,Miami beach,12.6,Other
237,3/17/2016 21:48,3/17/2016 22:04,Personal,Boston Downtown,Boston Downtown,10.4,Other
238,3/18/2016 7:15,3/18/2016 7:21,Business,Boston Downtown,Boston Downtown,1.1,Meal/Entertain
239,3/18/2016 8:35,3/18/2016 8:43,Business,Boston Downtown,Boston Downtown,1.1,Meal/Entertain
240,3/18/2016 18:24,3/18/2016 19:08,Business,Boston Downtown,Sharpstown,13.2,Meeting
241,3/18/2016 19:23,3/18/2016 19:29,Business,Boston Downtown,Boston Downtown,1,Errand/Supplies
242,3/18/2016 21:01,3/18/2016 21:15,Business,Boston Downtown,Boston Downtown,9.2,Customer Visit
243,3/19/2016 9:10,3/19/2016 9:25,Business,Boston Downtown,Sharpstown,9.4,Meal/Entertain
244,3/19/2016 12:50,3/19/2016 13:13,Business,Miami beach,Sugar Land,12,Customer Visit
245,3/19/2016 14:01,3/19/2016 14:57,Business,West Palm Beach,Miami beach,35.1,Customer Visit
246,3/19/2016 15:34,3/19/2016 16:38,Business,Miami beach,Galveston,36.5,Meal/Entertain
247,3/19/2016 17:17,3/19/2016 17:32,Business,Chicago Downtown,Chicago suburb,3.1,Meal/Entertain
248,3/19/2016 17:37,3/19/2016 17:47,Business,Dallas Downtown,Dallas Downtown,2.1,Errand/Supplies
249,3/19/2016 17:52,3/19/2016 18:00,Business,Dallas Downtown,Dallas Downtown,1.2,Other
250,3/19/2016 18:53,3/19/2016 19:29,Business,Dallas Downtown,Dallas Downtown,7.5,Meeting
251,3/19/2016 19:33,3/19/2016 20:39,Business,Chicago Downtown,Chicago suburb,57,Customer Visit
252,3/20/2016 7:37,3/20/2016 7:48,Business,Boston Downtown,Washington Avenue,5.9,Meeting
253,3/20/2016 11:42,3/20/2016 11:56,Business,Boston tea party,Boston Downtown,6.2,Meeting
254,3/20/2016 17:08,3/20/2016 17:34,Business,Boston Downtown,Sharpstown,10.4,Other
255,3/20/2016 18:34,3/20/2016 18:40,Personal,Boston Downtown,Boston Downtown,1.2,Other
256,3/20/2016 18:45,3/20/2016 19:06,Business,Boston Downtown,Boston Downtown,9.6,Customer Visit
257,3/21/2016 10:21,3/21/2016 10:26,Personal,Boston Downtown,Downtown,1,Other
